"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"Tgd cells",0.208186666666667,0.356143333333333,1,0.193803333333333,0.0150966666666666,1,0.299006666666667,0,0,0.335916666666667,0,0.0536733333333334,0,0.01187,0.6285,0,0,0.734673333333333,0.10073,0,0.0483066666666667,0,1,1,0,0.00884333333333331,0,1,0,0.03417,0,0.711386666666667,0.0081566666666667,0.225183333333333,0.74007,0,0.6293,0.00267666666666666,1,0.0299,0,0.0222766666666666,0.00434000000000001,0,0.327106666666667,0,0.16151,0,0,0,0,0.00490333333333337,0,0,0.578203333333333,0.00737333333333334,0.64405,0,0.467886666666667,0.01019,0.0823466666666667,0.00054333333333334,0,0,0.61736,0.631853333333333,0.380113333333333,0,0.0109933333333333,0.02485,0.00663000000000002,0.06313,1,0.222626666666667,0,0.02178,0.0699666666666666,0.0135733333333333,0,0.0116633333333334,0.20178,0.07142,0.689693333333333,0.00107333333333337,0.02661,0,0.23376,0.392816666666667,0.30123,0.0232866666666667,0.06573,0.19863,0.06603,1,0,0,0.07888,0,0.00934000000000001,0.0404233333333334,1,0,0.0334733333333334,0.0449000000000001,0.10595,0
"Th1 cells",1,1,0.257546666666667,0.44038,0.0951833333333333,1,0.20359,0.167923333333333,0.18677,0.652636666666667,7.33333333333697e-05,0.406776666666667,0.09613,0.544386666666667,1,0.44025,0.01081,0.43318,0.28903,0.0124933333333334,0.643336666666667,0.0442133333333333,0.501486666666667,0.74587,0,0.378373333333333,0,0.161413333333333,0.0674866666666667,0.00165000000000004,0.03301,0.491873333333333,0.48041,0.0263933333333334,0.44828,0.000636666666666619,0.0367033333333333,0.140513333333333,0.445606666666667,0.138366666666667,0,0.221073333333333,0.0640033333333333,2.000000000002e-05,0.65938,0,0.0108866666666667,0,0.0786633333333333,0.104986666666667,0,0.0331900000000001,0,0.419853333333333,0.50587,0,0.588393333333333,0.07987,0.0241466666666666,0.04259,0.03196,0.28951,0.166586666666667,0.00326666666666664,0.0304833333333333,0.0897466666666666,0.16107,0.0601633333333333,0,0.000750000000000028,0.0169933333333333,0.00668333333333337,0.0367366666666666,0.26348,0.103736666666667,0.01668,0.521943333333333,0.536876666666667,0.230296666666667,0.216756666666667,0.624976666666667,0.150606666666667,0.11674,0,0.165176666666667,0,0.646053333333333,0.40454,0.222736666666667,0.01884,0.0233533333333333,0.12695,0.10869,0.39588,0.197866666666667,0.0349633333333333,0.0569433333333333,0,0.000253333333333328,0.0433266666666666,0.558296666666667,0,0.19463,0.07682,0.0172933333333334,0.0529766666666667
"Th2 cells",0.40322,0.72439,1,0.0157566666666666,0.226816666666667,0.0673133333333333,0.38402,0,0,1,0,0.0546566666666667,0.111356666666667,0,0.104306666666667,0,0.516443333333333,0.487683333333333,0.005,0.220656666666667,0.0067666666666667,0,1,0.36474,0.0969333333333333,0.0172566666666667,0.000419999999999976,1,0,0.194646666666667,0.00761666666666672,0.75855,0.02446,1,0.39435,0,0.14061,0.251036666666667,1,0.0430966666666667,0.100776666666667,0.00365333333333329,0.1045,0.0096033333333333,0.402816666666667,0.49666,1,0,0.528636666666667,0.0993233333333333,0.04656,0.228286666666667,0.376286666666667,0,0.59455,0.636793333333333,0.45268,0.00317999999999996,0.752256666666667,0.00863333333333338,1,0.03646,0.0283666666666667,0,0.783656666666667,0.782383333333333,0.08324,0,0.0118366666666667,0.587063333333333,0.000813333333333333,0.0247733333333333,0.47745,0.299793333333333,0.00323333333333331,0.0788866666666667,0.17064,0.0164766666666667,0,0.00322666666666671,0.0267500000000001,0,0.0588433333333334,0,0,0,0,0.5609,0.0193433333333334,0.0429666666666667,0.327496666666667,0.46013,0.0272066666666667,0.139696666666667,0,0.01524,0.0387533333333333,0.0091,0.00224000000000002,2.000000000002e-05,0.0116633333333334,0.000206666666666688,0,0,0.01691,0
"Tregs",0.0668233333333333,0.826453333333333,1,0.127086666666667,1,0.11477,0.80198,0.16101,0.85887,0.600856666666667,1,0.584063333333333,1,0.0405866666666667,0.12159,0.12541,0.22537,1,0,1,0.5587,0.270766666666667,1,0.89676,1,0.230973333333333,1,0.231553333333333,0.835293333333333,1,1,0.142096666666667,1,0.31643,0.22461,0.43682,0.905793333333333,0.39677,0.957316666666667,0.985766666666667,1,1,1,0.423226666666667,0.10823,1,1,0.2059,1,1,0.540586666666667,0.433256666666667,1,0.0297933333333333,0.09473,0.657836666666667,1,1,0.03779,0.398873333333333,0.0210066666666666,1,0.0964,1,0.136753333333333,1,0.467166666666667,1,1,1,0.700586666666667,1,0.423386666666667,1,0.651176666666667,1,0.0461166666666667,1,0.309633333333333,0.23548,0.454516666666667,0.829893333333333,1,1,0.497736666666667,0.581876666666667,0.266456666666667,1,1,0.1391,1,0.6731,0.247,1,0.04223,1,1,0.0291966666666666,1,1,1,1,0.581773333333333,1,0.146573333333333,1
"Memory B-cells",0.0011066666666667,0.0065533333333333,1,0.000809999999999977,1,0.603416666666667,1,0.00442333333333333,0.401816666666667,0.289503333333333,1,1,0.0293633333333333,1,1,0.06595,1,1,0.0368166666666667,0.8095,7.9999999999969e-05,1,1,1,1,0.03137,0.00319999999999998,0.00214666666666663,0.12419,1,0.00641333333333338,0.0127533333333333,0,1,1,1,1,1,1,0.09398,0.21757,0,0.57324,1,0.0512633333333333,1,1,1,0.145486666666667,1,0.000173333333333359,0.00114666666666663,1,1,0.121,1,3.33333333335517e-06,1,0.00390000000000001,1,0.0265066666666667,0.11865,1,1,0.00131666666666663,1,1,0.0678366666666667,1,1,0.625303333333333,1,1,1,1,1,1,9.99999999995449e-06,0.00816666666666666,1,0.118743333333333,1,1,1,0,1,0.163596666666667,0.00385999999999997,0.01997,0.49362,0.0194233333333333,0,0,1,0.1363,1,0.140533333333333,0.942703333333333,0.149033333333333,0.301253333333333,1,1,1,1,1,0.00126000000000004
"Class-switched memory B-cells",0,0,0.06366,0,1,0.00534999999999997,0,0,0.573176666666667,0.00110333333333335,1,0.184773333333333,0.0202133333333333,0,1,0,0.32677,1,0,0,0,1,0,1,0.579153333333333,0,0.0680566666666667,0,0,0.120573333333333,0,0,0,0.0326266666666667,0.124073333333333,1,0,0,0,0,0,1,0.835476666666667,0.000476666666666681,0,1,1,0.102826666666667,0,1,0,0,0.0534133333333333,0.02496,0,1,0,0.0266999999999999,0,0.0298033333333333,0,0,0.149423333333333,0.443126666666667,0,0.0706533333333333,0.755453333333333,0,0.485843333333333,0,0.00183999999999995,0.000240000000000018,0.000346666666666717,0,0.218496666666667,0,0,0,0.407223333333333,0.26689,0,0.62429,0.52402,0.176963333333333,0,0.15199,0.02063,0,0,0.358463333333333,0.3468,0,0,0.000406666666666666,0,0.269863333333333,0.00176333333333334,0,0.167083333333333,0.132516666666667,0,0.350103333333333,1,0.417393333333333,0,0
"naive B-cells",0,0.00144999999999995,1,0.666666666666667,1,0.00251666666666661,0.666666666666667,0.000823333333333287,0.0124633333333334,0.0181866666666667,1,1,0.666666666666667,0.0314733333333334,0.146473333333333,0.00156999999999996,1,0.666666666666667,0.0407066666666667,0.09019,0,1,0.666666666666667,1,0.0463633333333333,0.0211466666666666,0.00195666666666672,0.0943766666666667,1,1,1,1,0.00991666666666668,0.666666666666667,0.666666666666667,0.666666666666667,0.15303,0.32006,0.666666666666667,0.666666666666667,0.666666666666667,0.00881666666666669,0.467873333333333,0.666666666666667,0.00381333333333334,0.666666666666667,0.666666666666667,0.12028,0.0533833333333333,0.666666666666667,0,0.0132066666666667,1,0.235906666666667,0.666666666666667,0.292946666666667,2.99999999999745e-05,0.0752699999999999,0.23852,0.05672,0.01368,0,0.666666666666667,0.531206666666667,0.0206766666666667,1,0.666666666666667,0.00735666666666668,1,0.0213833333333333,0.00997333333333328,1,1,0.0266533333333333,0.09756,0.08885,0.0943033333333333,0.0071,0.00277333333333329,0.03187,0.0189466666666667,1,0.666666666666667,1,0.0150133333333333,0.03203,0.0407333333333333,3.33333333335517e-06,0.000626666666666664,0.000870000000000037,1,0,2.99999999999745e-05,0.0608266666666667,2.000000000002e-05,1,0.666666666666667,0.0971266666666667,0.0274066666666667,1,0.666666666666667,0.10996,0.0281666666666667,0.00809666666666664,1,0.00200666666666671
"NKT",0.73031,0.376526666666667,0.1082,0.00961999999999996,0.18308,0.883986666666667,0.104123333333333,1,0.61635,0.01598,0.284156666666667,0.13026,0.299353333333333,1,0.0990366666666667,0.327426666666667,0.000940000000000052,0.61502,0.587173333333333,0.429943333333333,0.617263333333333,0.969416666666667,0.149036666666667,0,0.00766666666666671,0.287773333333333,0.154743333333333,0.163576666666667,0.109786666666667,0,0.255396666666667,0.0276966666666667,0.00984666666666667,0,0.34519,0.67847,0.12722,0.132766666666667,0.184433333333333,0.00430666666666668,0.05632,0.51263,0.19885,0.00649,0.43197,0.00146666666666662,0.03305,0.0778666666666666,0.0757933333333334,0.16137,0.06465,0.00334000000000001,0.09743,0.159686666666667,0.09656,0.290113333333333,0.322723333333333,0.523736666666667,0.342843333333333,0.36495,0.43366,0.51379,0.359413333333333,0.37643,0.425716666666667,0.254993333333333,1,0.44333,0.496746666666667,0.263533333333333,0.0663533333333334,0.33551,0.81707,0.987946666666667,0.11363,0.733556666666667,0.394716666666667,0.81982,0.738856666666667,0.442273333333333,0.928153333333333,0.41085,1,0.177446666666667,0.74948,0.16043,1,0.333716666666667,0.65063,0.806656666666667,0.682813333333333,0.506563333333333,0.516846666666667,0.979023333333333,0.56046,1,0.59648,0.133473333333333,0.196156666666667,0.929253333333333,0.72166,0.390266666666667,0.809043333333333,0.809286666666667,0.491276666666667,0.585073333333333
"pro B-cells",1,1,0.85166,1,0.64699,1,0.670783333333333,0.24745,0.09828,0.533856666666667,0.154976666666667,0.256526666666667,0.382586666666667,0.225806666666667,1,0.423023333333333,0.663213333333333,0.31409,0.604866666666667,0.165226666666667,0.132533333333333,0.138406666666667,1,1,0.141366666666667,0.2538,0.04744,1,0.193746666666667,0.05999,0.149386666666667,1,0.286453333333333,0.1975,1,0.08597,1,0.292053333333333,1,0.37381,0.00999666666666665,0.16518,0.249076666666667,0.0309633333333333,0.31532,0.0335933333333334,0.20987,0.00461,0.09261,0.178313333333333,0.09101,0.174063333333333,0.498213333333333,0.42752,1,0.194103333333333,0.531023333333333,0.0819433333333334,0.23446,0.291163333333333,0.315183333333333,0.0483333333333333,0.772903333333333,0.0436566666666667,0.253946666666667,1,0.537786666666667,0.106653333333333,0.06099,0.138076666666667,0.06193,0.243346666666667,0.261113333333333,0.28944,0.143933333333333,0.0603333333333333,0.277176666666667,0.221956666666667,0.218206666666667,0.230946666666667,0.242046666666667,0.426136666666667,1,0.07675,0.206493333333333,0,0.372496666666667,0.218476666666667,0.384606666666667,0.00872333333333331,0.284053333333333,0.55619,0.13493,0.588633333333333,0.17917,0.257053333333333,0.223723333333333,0.25124,0.143183333333333,0.296126666666667,0.49187,0,0.17472,0.0182833333333333,0.942696666666667,0.06643
"Plasma cells",0.0220133333333333,0,0,0,0,0,0,0,0,0.00392999999999999,0,0.335123333333333,0,0,0,0,0,1,0,0,1,0,0,0,0.55017,0.0643966666666667,0.000123333333333364,0,0,0,0,0,0,0,0,1,0,0,0.215303333333333,0,0,0,0,0.0151,0,1,0.02058,0.155806666666667,0,0,0.0947933333333333,0,0,0,0,0,0,0,0,0.491653333333333,0,0,0,0,0,1,0,0,0,0.0235233333333333,0,0,1,0,1,0,0,0,0,0,0.702303333333333,0,0,0,0,1,0,0.000206666666666688,0,0.158193333333333,0,0,0,0.153626666666667,0,0,0,0,0,0,0,0,1,1,0,0
"MEP",0.104753333333333,0.217893333333333,0.283546666666667,0.514536666666667,0.0984566666666666,1,0.181076666666667,0.693013333333333,1,1,0.0894133333333333,0.447346666666667,0.401036666666667,0.0773200000000001,1,1,1,0.0869766666666667,1,0.159023333333333,0.0537933333333334,0.0381066666666666,0.130006666666667,1,0.141073333333333,0.09772,0,0.235726666666667,0.0903966666666667,0.120313333333333,0.104063333333333,0.257023333333333,1,0.251266666666667,0.568216666666667,0.02972,0.0190900000000001,0.0793666666666667,0.247173333333333,0.217493333333333,0,0.0236,0.172156666666667,0.0776133333333333,1,0.00249999999999995,0.0541366666666667,0.139043333333333,0.897306666666667,0.04018,1,0.0922333333333333,0.112183333333333,0.339313333333333,0.166943333333333,0,1,0.01972,0.101446666666667,0.19475,0.0886,0.05172,1,0,1,0.127826666666667,0.299613333333333,0.10045,0.04383,1,0.0326266666666667,0.45838,0.15612,0.0851066666666667,0.07668,0.0722833333333334,0.09293,0.20887,0.277276666666667,0.0999333333333333,1,1,0.202693333333333,0,1,0,0.176156666666667,1,1,0.120766666666667,0.263553333333333,0,1,0.162396666666667,0.116383333333333,0.0513533333333334,0.10289,0.149813333333333,0.00924000000000003,0.0532133333333333,0.2338,0.0610033333333333,0.07797,0,1,0.0589333333333333
"GMP",0.0180466666666667,0.188643333333333,0.490833333333333,0.556733333333333,0.363523333333333,0.0404833333333333,0,0.15982,0.245376666666667,0.21914,1,0.0336133333333334,1,0.0262066666666667,0.564173333333333,0.02215,0.146723333333333,0.178556666666667,0.0298133333333334,1,0.0963766666666667,0.53626,0.21763,0.298903333333333,0.0714366666666667,0.0233733333333334,0.232043333333333,0.0860166666666666,0.52294,1,1,0,0.156123333333333,0.00056333333333336,0.41885,0.873173333333333,0.87605,0.289266666666667,0.02896,0,0.870616666666667,0.11648,0,0.41543,0.1689,1,0.151553333333333,1,0.218506666666667,0.95081,0.0920800000000001,0.120143333333333,0.462563333333333,0,0.16293,0.779003333333333,0.252406666666667,0.1866,0.0394966666666666,0,0.0171833333333333,0.210146666666667,0.00129999999999997,0.35175,0.263046666666667,0.0771466666666667,0.710943333333333,0.0852733333333333,1,0.000186666666666668,0.00607666666666662,0.115733333333333,0.179073333333333,0.0554266666666666,0.02813,0.44545,0.115923333333333,0.0846666666666667,0.151126666666667,0.26694,0.000383333333333291,0.0476799999999999,0.156743333333333,0.47618,0.100063333333333,0.68232,0.0956033333333334,0.779183333333333,0.0642,0.647613333333333,0.438923333333333,0.119476666666667,0.199886666666667,0.196506666666667,0.20432,0,1,0,0.863723333333333,0.118743333333333,0.553433333333333,1,0.06482,0.0435233333333334,0.148533333333333,0.09192
