"StromalScore" "ImmuneScore" "ESTIMATEScore" "TumorPurit"
"TCGA.49.AARE" -199.874424838479 460.342943322216 260.468518483736 0.800168058553023
"TCGA.99.7458" 782.127733923138 1463.28248679074 2245.41022071388 0.594150373151953
"TCGA.05.4424" 556.094782529451 1072.87711172849 1628.97189425794 0.664403156356988
"TCGA.44.2666" -649.312466346614 89.8028026332673 -559.509663713347 0.866395716985605
"TCGA.44.6775" 1384.52051906803 1372.68101273777 2757.2015318058 0.532104245562186
"TCGA.38.4631" -706.159379462551 225.628046296199 -480.531333166352 0.860548516317286
"TCGA.55.7283" -249.681022312531 694.450177380137 444.769155067606 0.783651390360111
"TCGA.95.7567" 114.567888312113 681.958593027831 796.526481339944 0.750546222743836
"TCGA.38.4629" 961.68884857307 1776.3025650255 2737.99141359857 0.534489610992313
"TCGA.91.8497" 475.125857745653 1502.89435123246 1978.02020897811 0.625255363868101
"TCGA.78.7540" -804.081223185605 361.811284172404 -442.269939013201 0.857674178293693
"TCGA.55.A48Y" 540.336246192519 374.497570073018 914.833816265536 0.738957766418056
"TCGA.55.7995" -25.5261826886093 1776.66846328064 1751.14228059203 0.650894231056466
"TCGA.44.3919" 489.175784766104 1528.29748714521 2017.47327191131 0.620725293881873
"TCGA.69.7764" -369.140391889846 262.902582171029 -106.237809718817 0.831278390728356
"TCGA.95.7947" -770.139040762617 551.690503726085 -218.448537036532 0.840320854610435
"TCGA.MP.A4TH" 91.4055969922955 1592.00070890337 1683.40630589567 0.658410234978502
"TCGA.55.7725" -217.04852555949 1428.5233167979 1211.47479123841 0.708929124733477
"TCGA.L9.A5IP" -643.656082264016 444.699123059599 -198.956959204417 0.838766425075405
"TCGA.97.7554" 1065.28132422045 775.1877836895 1840.46910790995 0.640884239278008
"TCGA.55.8619" 579.912033716625 2020.46271199906 2600.37474571568 0.551452385544625
"TCGA.55.7227" 747.179005650725 1418.94748952739 2166.12649517811 0.603470942362366
"TCGA.67.3770" -84.047760225609 1148.26894570388 1064.22118547827 0.72400704031465
"TCGA.78.7145" 56.5962830855067 396.830493569438 453.426776654945 0.78286131185283
"TCGA.49.AAR3" 645.316518019819 1912.51965684843 2557.83617486825 0.556650526608994
