"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133"
"Macrophages M1",0,0,0,0.00657333333333332,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02872,0,0,0,0,0,0.0257933333333333,0,0,0,0,0,0,0,0,0.000123333333333364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000246666666666617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296666666666612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333333497e-05,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophages M2",0,0,0,0,0,0,0,0.564813333333333,0,9.9999999999989e-05,0,0,0,0,0,0.844683333333333,0.608903333333333,0.00583999999999996,0,0,0,0.30424,0.0352566666666667,0,0,0,0.494073333333333,0,0.173093333333333,0,0,0,0,0,3.33333333333297e-05,0,0.812863333333333,0,0.547126666666667,1,0,0,0,0.115703333333333,0,0.89355,0,0,0.0238666666666667,0,0,0.165423333333333,0,0.01445,0.07905,0.0963233333333333,0.000110000000000054,1,0,0,0.0472033333333334,0,0.0718,0.501846666666667,0,0,0,0,0.0325333333333333,0,0,0,0.0602833333333334,0.0586,0.364766666666667,0,0,0,0,1,0,0.0291366666666667,1,0,1,0,1,0,0.530356666666667,0.0924766666666667,0,0,0.249066666666667,2.99999999999745e-05,0,0.00317000000000001,0.0474599999999999,0.0545833333333333,0.0214266666666667,0,0.378513333333333,0,0,0,0,0,0,0.0257733333333333,0.0238666666666667,0,1,0.222733333333333,0,0,0.155806666666667,0.194693333333333,0.000680000000000014,0,1,0,0.0647466666666666,0.01224,0,0,0.0602866666666667,0.000163333333333293,0,0,0.206896666666667,0,0.00946999999999998,0,0
"Mast cells",0.000916666666666677,0.10785,0,0,0.00176666666666669,0.000153333333333339,0,0.000126666666666719,0,0.0170666666666667,1,0,0,1,0.000140000000000029,1,0,0.0529533333333333,0.0102266666666667,0.00475333333333339,0.05343,0.0553066666666666,0,0.00311666666666666,0,0.00548666666666664,0,0,9.99999999995449e-06,0,0,0.261693333333333,0,0,0,0,0.0214266666666667,0.00294000000000005,0.00410999999999995,0,0,0.0200333333333333,0,0.76387,0.477136666666667,0.359926666666667,0.0308566666666666,0,0.42623,0,0,0.0156233333333333,4.99999999999945e-05,0.00579666666666667,3.66666666666848e-05,0.275703333333333,9.66666666666338e-05,1,0.000403333333333311,2.000000000002e-05,6.66666666666593e-05,0,0,0,0.00853999999999999,0,0.00183333333333335,0,0,0,0.30316,0.000306666666666677,0.0148166666666667,1,0,0.0101366666666667,0,0.0471433333333333,7.33333333333697e-05,0.0195166666666666,0.000190000000000023,0.0279700000000001,0.79898,0.00170333333333328,0.433386666666667,0.0140833333333333,0.801246666666667,0,0.0728433333333334,0,0.0123166666666666,2.000000000002e-05,0.221976666666667,0,0,0.119206666666667,0,0.00421666666666665,0.451763333333333,0,0.52184,0.0397333333333333,0.195846666666667,0.00244666666666671,0.03223,1,4.99999999999945e-05,0.0170033333333334,0.04136,0.00292999999999999,0.0392066666666666,0,0,0.248106666666667,0.00582000000000005,0,1,0.0419866666666666,0.898706666666667,0.0294566666666667,0.0242366666666667,0.00937333333333334,0,0,1,0.7956,0,0,0,1,0,0,0
"pDC",0.0494566666666667,1,0,0.38433,0.0244033333333333,0,0.00802333333333338,0,0,0.88292,0.137666666666667,0.14735,0,1,0.663163333333333,0.25681,0.352603333333333,0.120843333333333,0,0.593463333333333,0,1,0,0.133466666666667,0.327973333333333,0.0208866666666667,0.0968133333333333,0.0273733333333334,0,0,0.871726666666667,1,0.814913333333333,0.76743,1,0.09333,0.665236666666667,0.00526333333333329,0.75515,0.0810999999999999,1,0.161396666666667,0.02171,0.0737066666666667,1,0.000526666666666675,0.711023333333333,0.0977733333333334,1,1,0,1,0.01836,0.54865,0.0335233333333333,0.00913333333333333,1,1,0,0,0.0160733333333334,0.152636666666667,0,1,0,0.0818133333333333,1,0.17172,0.10546,0,1,0,0.0947233333333334,0.141353333333333,0,0.0832233333333333,0,0.8645,1,0.375373333333333,1,1,1,1,1,0.281556666666667,0.7192,0,1,0,0.124573333333333,0,0.245013333333333,0.0681066666666666,0.95758,0,0.0261066666666666,1,1,1,1,1,0.385226666666667,1,1,0.612773333333333,0.22711,0.0602233333333333,0.0228933333333333,1,1,0.22806,0.255746666666667,0.190676666666667,1,1,0.592746666666667,0.09102,1,1,1,0,0,0,0.0518566666666667,0.538493333333333,0.0496266666666667,0.728833333333333,0,0.0310733333333333,0.0178233333333333,0,0
"Monocytes",0.0250466666666667,0.04653,0,0.0305466666666667,0.114333333333333,0.000199999999999978,0,0.164206666666667,0.01672,0,0.126963333333333,0.00434666666666672,0.02067,0.00692000000000004,0,0.0852766666666667,0.352626666666667,0.0353233333333334,0.00354333333333334,0.0527666666666666,0.13608,0.151293333333333,0.00575999999999999,0.0928433333333334,0.0148233333333333,0.09627,0.02286,0,0.0043266666666667,0.00973333333333337,0.0333599999999999,0.403053333333333,0.04835,0.123046666666667,0.0579266666666667,0.11266,0.123863333333333,0.00106333333333331,0.14943,1,0.00253999999999999,0.0195366666666666,0,0.01997,0.07912,0.0758033333333333,0.00337333333333334,0.02267,0.0353966666666666,0.169023333333333,0.0326833333333333,0.75057,0.0806033333333334,0.42692,0.114166666666667,0,0.04796,1,0.05574,0.0631033333333333,0.0215566666666667,0.0394266666666667,0.145606666666667,0.08285,0.0787933333333334,0.115346666666667,0.307776666666667,0,0.11172,0.0280333333333334,0.0315433333333334,0.0918966666666666,0.515306666666667,0.376803333333333,0,0.0454466666666666,0,0.0536833333333333,0,0.0736933333333334,0.181773333333333,1,0.13923,0.0375866666666667,0.121263333333333,0.417796666666667,0.262176666666667,0,0.14699,0.0288033333333333,0.0416299999999999,0.0402400000000001,0.222073333333333,0.02278,0,0.0998599999999999,0.00826666666666664,0.363246666666667,0.222603333333333,0.02457,1,0.0328933333333333,0.0711033333333333,0.00539666666666672,0.0234766666666667,0.125733333333333,0.06573,0.0871633333333334,0.123863333333333,0.06881,0.0309133333333333,0.0691933333333333,0.02338,0.146896666666667,0,0.0788033333333333,0.763006666666667,0.0531,0.0815433333333333,0.0850266666666667,0.486103333333333,0.03657,0,0.0487333333333333,0.0777600000000001,0.123436666666667,0.02524,0.00115666666666669,0.0400633333333333,0.110466666666667,0.101586666666667,0.0965533333333334,0
"aDC",0,0,0,0,0,0,0,0,0,0,0.0446766666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160733333333334,0,0,0,0,0,0,0,0.0620333333333334,0,0,0,0,0,0,0,0,0,0,0.000650000000000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chondrocytes",1,0.000993333333333291,1,0,0.07406,0.0715766666666666,0.0342,1,0,0.0492566666666666,1,0,0.04844,0.0702,0,0.0051566666666667,0.0695566666666667,1,0.00551666666666661,0.18291,0,1,0,0.81079,1,1,0,0.26209,0,2.66666666666193e-05,1,1,1,0,0.0709333333333333,0,0,0,0,0,0,1,1,0.711016666666667,0,1,0,0.00208333333333333,0,0,1,0,0.0698166666666666,0,0,1,1,1,1,1,1,0.0322166666666667,0,0,1,0,0.0536866666666667,0,0.00155000000000005,0.10634,0,0.00866999999999996,0.335813333333333,0.00102999999999998,0.14441,1,0,1,1,0,0.000183333333333313,0,0,1,1,0,1,1,1,0,0.143466666666667,0.0454533333333333,0.44509,0,1,0,0.04456,0,2.99999999999745e-05,1,0,1,0.000346666666666717,1,4.66666666666393e-05,1,1,1,1,1,1,0.00141000000000002,0.0568,0.43746,0,0,0,0.0436233333333333,0,1,1,1,1,9.33333333332786e-05,1,1,1,3.66666666666848e-05,0.11036,1,0,0.0276066666666667,0
"Endothelial cells",1,0,0,0,0,0,0,0,0,0,1,0,0,6.66666666671034e-06,0,0,1,0,0,0.0029433333333333,0.05667,0.440583333333333,0,0,0,0,0,0,0,0,0,0.0104733333333333,0.00385333333333338,0,1,0,0,0,0,1,0,0,0,0.00247333333333333,0,0,0.620833333333333,0.235096666666667,0,0.161833333333333,0,0,1,0,0,0,0.18058,1,0,0,0.0264766666666667,0,0,0,0,0,0,0,0.000179999999999958,0,0,0,0.88461,0,0.21113,0,0,0,0.323963333333333,1,1,1,0,0,0.07679,0,0.00195666666666672,0.0119899999999999,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.455276666666667,0.000626666666666664,1,1,0.165373333333333,0.450466666666667,0.18894,0,0,0,0,0,1,0.262653333333333,0,0,1,1,0,0,1,0.188013333333333,0,0,0,1,0,0,0.0414833333333333
"Fibroblasts",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00761000000000001,0.000669999999999948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145233333333333,0,0,0,0,0,0,0.315623333333333,0,0.00497666666666663,0.00752666666666668,0,0,0,0,0.109033333333333,0,0.0954933333333333,0,0,0,0,0,0,0.517976666666667,0,0.06228,0,0,0,0,0,0.0176433333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398233333333333,0.0344233333333334,0,1,1,0,0.509873333333333,0.0646866666666667,0,0.79083,0,0.05135,0,0,0,0.0234266666666667,0,0,0,0,0,0.00153666666666663,0,0,0.162113333333333,0,0,0,0.0361766666666666,0,0.22356,0.170926666666667,0,0,0,0,0,0,0,0,0,0,0.12873,1,0,0,0,0.00798333333333334,0,0,0,0,0,0,0,0
"ly Endothelial cells",0.116286666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.03556,0,0,0,0,0.03547,0,0,0,0,0,0,0,0,0,0.00991333333333333,0,0,0,0,0,0,0,1,0,0,0,0.0112033333333333,0,0,0.290103333333333,0,0.251776666666667,0,0,0,0,0,0,0,0,0.439343333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11837,0,0.0856566666666667,0,0,0,0.65789,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00563333333333338,0,0,0,0,0,0,0,0,0,0,0.0141566666666667,0.0129,0,0,0,0,0,0,0,0,0,0.00589333333333331,0,0,0.49448,1,0,0,0.905536666666667,0.0641866666666666,0,0,0,0.121483333333333,0,0,0
"mv Endothelial cells",0.842723333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.00113333333333332,0.000173333333333359,0.0971233333333333,0,0,0,0,0,0,0,0,0,0.0210066666666666,0,0.00591666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000000002e-05,0,0,0,0.103473333333333,0,0,0,0.000723333333333298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00537333333333334,0,0,0,0,0,0,0.108873333333333,0,0,0.0017166666666667,0,1,0.0465533333333333,0,0,0,0,0,0,0,0.00258999999999998,0,0,0,0.116286666666667,0,0,0,0,0,0,0.03725,0,0.02349,0,0,0,0,0.0045033333333333,0.381573333333333,0,0.651676666666667,0,0,0,1,1,0,0,1,1,0,0,0,0.07636,0,0,0.05033
"Megakaryocytes",0.000153333333333339,1,0.0822033333333333,0.0471266666666667,1,1,0.00275999999999998,0.737696666666667,0.358303333333333,0.678543333333333,0,0.769973333333333,0.530453333333333,0.962813333333333,0.448343333333333,0.11677,0.570883333333333,0.400803333333333,1,0.09919,0.132786666666667,1,0.157156666666667,0.13522,1,0.617896666666667,0.17643,0.448476666666667,0.0884033333333333,0.595343333333333,0.0259133333333333,0.64097,0.422306666666667,0,1,0.04037,0.452833333333333,0.55493,0.456956666666667,0,1,0.601876666666667,0.00218333333333331,1,1,0.0899866666666667,0.80648,1,0.280166666666667,0.53926,0.413836666666667,0.00236000000000003,0.463283333333333,0.82769,0.768423333333333,1,1,1,0.467343333333333,1,0.9764,0.151733333333333,0.00178333333333336,0.0551566666666666,0.802596666666667,0.0121,0.0406133333333333,0.353636666666667,0.84604,0.620306666666667,0.109663333333333,0.06931,0.404553333333333,0.214343333333333,1,0.81318,0.331953333333333,0.4453,0.4862,0.94207,0.967236666666667,0.0256633333333334,0.21357,0.000833333333333353,0.377196666666667,1,0.10824,1,0.08352,0.915493333333333,0.232616666666667,0.0841833333333334,1,0.18924,0.642206666666667,1,1,0.49292,0.209826666666667,0.24936,0,0.49549,0.183423333333333,0.0572766666666666,0,1,0.370883333333333,0.532323333333333,0.000190000000000023,0.44558,1,0.08185,0.472563333333333,0.0311733333333334,1,0.0595933333333334,0.240236666666667,0.30766,0,0.133356666666667,0.02246,0.83536,0.22187,0.125283333333333,0.366603333333333,0.8816,0,0.44654,0.556096666666667,0.0338966666666667,0.449946666666667,0.0719133333333334,0.842556666666667
"Smooth muscle",0,0.54902,0.31919,1,0.239933333333333,0.01455,0.231516666666667,0,0,0,0,0.182166666666667,0.00663333333333338,0.0420133333333333,0.0359866666666666,0,0,0,0,0,0,0,0,0.10678,0.0766,0.1662,0,0.226356666666667,0,0.0508966666666667,0.568266666666667,0.12287,0.0557033333333333,1,0,1,0,0.122103333333333,0.71377,1,0,0,0,0,0.41457,0,0.813043333333333,0.48418,0,1,0.34115,1,0,0.532603333333333,0.233073333333333,0.137736666666667,0.359713333333333,0.000243333333333373,0.146176666666667,0.0518733333333333,0,0.184986666666667,0.442336666666667,1,0.000380000000000047,1,1,0.109603333333333,0.43112,0.2946,0,0.0734900000000001,0,1,0,0,0.09361,0,0,0,1,1,0.190313333333333,0.818716666666667,0,0,0,0,0,0,0.117636666666667,0.166346666666667,0.00307333333333337,0.21498,0.0385766666666667,0,0.0227866666666666,1,0.0536866666666667,0.0311466666666667,0.39852,0.365513333333333,0.10884,0,0.211736666666667,0,0.0874933333333333,1,0,0.02801,0,0.182926666666667,0.0464833333333333,0.0699766666666667,0.0341166666666667,0.18792,0,0.332796666666667,0,0,0,0,0.0606,0,0,0,1,0.460213333333333,0,0,0.1952,0.388146666666667,0.114103333333333
"Pericytes",1,0,0,0,0,0,0,0.00527666666666671,0,0,0,0,1,0,0,0,0.48133,0,0,0,0,0,0.00387333333333328,0,0,0,0,0.0763933333333333,0,0,0,0,0.165606666666667,0,0,0,0,0,0,0,0,0.00117333333333336,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.11353,0.121983333333333,0,0,0,0,0,0,0,0,0,0,0.0306266666666667,0,0.24986,0.00233000000000005,0.16986,0,0.135923333333333,0.0264833333333333,0,0.03466,0,0,1,0,0,0.0259966666666667,0,0.0122666666666666,0,0.0164433333333334,0,0.00174666666666667,0.0155533333333333,0,0.00057666666666667,0.403846666666667,0.000240000000000018,0.38367,0,0.01484,0,0.514026666666667,7.9999999999969e-05,0.00356666666666672,1,0.410713333333333,0.00949333333333335,1,0,0.37858,1,0.65192,0,0,0.00999666666666665,0,0,0.159686666666667,0.132093333333333,0,0.201393333333333,0,0,0,0.000480000000000036,0,0.000299999999999967,0,0,0,0.00914999999999999
"Preadipocytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0742566666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adipocytes",0,0,0,0,0,0,0,0,0,0.00439999999999996,0,0,0,0,0,0,1,0,0,0,0,0.12582,0,0,0,4.33333333332842e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0543933333333333,0.0100366666666667,0.0689466666666667,0,0,0.0766766666666666,0,0.556403333333333,1,0,0,0,0,0,0,0,0,0,0,0,0.0779466666666667,0,0,0,0,0.321593333333333,0,0,0,0,0,0,0,0,0.06806,0,0,1,0,0,0,0.604613333333333,0.690083333333333,1,0,0.0121766666666666,2.66666666666193e-05,1,0,0,0,0,0.01457,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333335517e-06,0,0,0.24295,0,0,0,0,0,0,0,0,0,0,0,0,0.443323333333333,0,0,0,0.00505999999999995,0,0,0,0,0,0,0.34643,0
"MSC",0.000390000000000001,0,0,0.00604666666666664,0.04803,0,0,0,1,0.66794,0.377746666666667,0.00666999999999995,0.154353333333333,0,0,0.205116666666667,0.229856666666667,0.294783333333333,0,0.229486666666667,0.000210000000000043,0,1,0,0,0,0.184553333333333,0,0.0649566666666667,0.22072,0,0.86495,0,0.234316666666667,0.92029,0.21118,0.0169,0.00227333333333335,0,0,0.395443333333333,0,0.0419933333333333,0,0.32275,0.34777,0.2584,0,0.000443333333333351,1,0,0.02006,0.05811,0,0,0.00946999999999998,0,1,0.0521833333333334,0,1,0,0,0.64252,0.00156333333333336,0.220306666666667,0,0.0957266666666666,0.135286666666667,0.134406666666667,0.00306333333333331,0,0.44682,0,0.39939,0.432893333333333,0.791386666666667,0,0.00152666666666668,1,0,1,1,0,0.36148,2.000000000002e-05,0.0616666666666666,0.82616,0.00191333333333332,1,0.115666666666667,0,0,0.439313333333333,0,0.919943333333333,0.00867666666666667,0.14704,0,0,1,0,0.457103333333333,0.0460466666666667,1,0.00545666666666667,0,0,0,0.49223,0.10686,0.147803333333333,0.187453333333333,0,0.12733,0.0296566666666667,1,0.187646666666667,0.0415133333333333,0.201476666666667,0,0.98121,0.31185,0.0845933333333333,0,0.00498666666666669,0.0137033333333333,2.99999999999745e-05,0.613663333333333,0,0,0.00571999999999995,0
"Osteoblast",0.114343333333333,0.234883333333333,1,1,0,1,1,0,1,0,0,0,1,0,0.450713333333333,0,0,0,1,0.1196,0,0,0,1,0.244596666666667,0.23463,0,1,0,1,1,0,0,1,0,1,0,0.478373333333333,1,0,0,0.12565,0,0,0.243376666666667,0.278506666666667,1,0.0736866666666667,0,1,1,1,0,0.448423333333333,0,1,0,0,0,1,0.09288,1,1,0,0,0.822046666666667,1,1,0,1,0,0.4924,1,0,0.549036666666667,0,0.17034,0,0,0,0,0.354096666666667,0,1,0,0,0,1,0,0.02707,0.604203333333333,0.0107866666666667,0.0354533333333333,0,0,0,0,1,0,0.0226733333333333,0.0261866666666667,1,0.491623333333333,0,1,0.0486166666666666,0.0611233333333333,1,0,0,0,0,1,0.0826333333333333,0.34896,1,0,1,0,0,0,0,1,0.51358,0.15845,0,1,1,1,0.24889,1,1,0.0238233333333333
"Myocytes",0,0.413863333333333,1,0,0.00168000000000001,0.95875,0,0.43181,0,0.114456666666667,1,0.05575,0,0,0,0.13248,0,1,0.318723333333333,0.153216666666667,1,1,0,0.429093333333333,0.19065,1,0,1,0.00231666666666663,0.648953333333333,0,0,0,0,0,0,0.856286666666667,0,0,0,0,1,0,0.00634333333333337,0,0,0.103126666666667,0,0,0,0.02551,0,0,0,0,0.195233333333333,0.236493333333333,0,0,0.09655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289266666666667,0,0,0,0,0,0,0,0,0,0.41008,0,1,0.0676233333333334,0.129506666666667,0,0.000340000000000007,0,0.000809999999999977,0,0,0,1,0.180103333333333,0,0,0,0,0.167016666666667,0.0061566666666667,0,0,0.519456666666667,0,0,0,0,0.266833333333333,0,0.111526666666667,0.0208133333333334,0.690563333333333,0,0.07535,0.0140766666666666,0,0.0357133333333334,0,0,0.106976666666667,0,1,1,0,0,0,0.196246666666667,0,0.03928,1
